merchant,category
GAANA PLUS SUBSCRIPTION,Subscriptions
GNA*GAANA PREMIUM,Subscriptions
jio cinema,Subscriptions
JIO CINEMA PREMIUM,Subscriptions
JC*JIO CINEMA,Subscriptions
youtube premium,Subscriptions
YOUTUBE PREMIUM SUBSCRIPTION,Subscriptions
YT*YOUTUBE PREMIUM,Subscriptions
GOOGLE*YOUTUBE PREMIUM,Subscriptions
apple music,Subscriptions
APPLE MUSIC SUBSCRIPTION,Subscriptions
APL*APPLE MUSIC,Subscriptions
sony liv,Subscriptions
SONY LIV PREMIUM,Subscriptions
SLV*SONY LIV,Subscriptions
zee5,Subscriptions
ZEE5 PREMIUM SUBSCRIPTION,Subscriptions
Z5*ZEE5,Subscriptions
hulu,Subscriptions
HULU SUBSCRIPTION,Subscriptions
HLU*HULU MONTHLY,Subscriptions
disney plus,Subscriptions
DISNEY PLUS SUBSCRIPTION,Subscriptions
DSN*DISNEY PLUS,Subscriptions
hbo max,Subscriptions
HBO MAX SUBSCRIPTION,Subscriptions
HBO*MAX MONTHLY,Subscriptions
paramount plus,Subscriptions
PARAMOUNT PLUS SUB,Subscriptions
PRM*PARAMOUNT PLUS,Subscriptions
apple tv,Subscriptions
APPLE TV PLUS SUB,Subscriptions
APL*APPLE TV,Subscriptions
peacock,Subscriptions
PEACOCK PREMIUM SUB,Subscriptions
PCK*PEACOCK,Subscriptions
steam,Subscriptions
STEAM PURCHASE GAME,Subscriptions
STM*STEAM STORE,Subscriptions
playstation,Subscriptions
PLAYSTATION NETWORK,Subscriptions
PSN*PLAYSTATION,Subscriptions
xbox,Subscriptions
XBOX GAME PASS,Subscriptions
XBX*XBOX LIVE,Subscriptions
bookmyshow,Entertainment
BOOKMYSHOW TICKET,Entertainment
BMS*BOOKMYSHOW,Entertainment
BOOKMYSHOW_MOVIE,Entertainment
pvr,Entertainment
PVR CINEMAS TICKET,Entertainment
PVR*INOX MOVIE,Entertainment
inox,Entertainment
INOX MOVIES TICKET,Entertainment
INX*INOX CINEMAS,Entertainment
planet fitness,Entertainment
PLANET FITNESS MEMBERSHIP,Entertainment
PF*PLANET FITNESS,Entertainment
gold gym,Entertainment
GOLD GYM MEMBERSHIP,Entertainment
GG*GOLD GYM,Entertainment
uber,Transport
UBER TRIP HELP.UBER,Transport
UBER*RIDE,Transport
UBER BV TRIP,Transport
UBER INDIA TRIP,Transport
ola,Transport
OLA RIDE PAYMENT,Transport
OLA*CAB BOOKING,Transport
OLA_TRIP_BLR,Transport
rapido,Transport
RAPIDO BIKE RIDE,Transport
RPD*RAPIDO,Transport
metro,Transport
METRO CARD RECHARGE,Transport
DMRC*METRO RECHARGE,Transport
BMRCL*METRO,Transport
irctc,Transport
IRCTC RAIL BOOKING,Transport
IRCTC*TRAIN TICKET,Transport
IRCTC_RAILWAY,Transport
lyft,Transport
LYFT RIDE PAYMENT,Transport
LFT*LYFT,Transport
hertz,Transport
HERTZ CAR RENTAL,Transport
HTZ*HERTZ,Transport
enterprise,Transport
ENTERPRISE RENT A CAR,Transport
ENT*ENTERPRISE,Transport
petrol pump,Transport
INDIAN OIL PETROL,Transport
IOCL*PETROL PUMP,Transport
hp petrol,Transport
HP PETROL PUMP,Transport
HPCL*FUEL STATION,Transport
bharat petroleum,Transport
BPCL PETROL PUMP,Transport
BPCL*FUEL,Transport
fastag,Transport
FASTAG RECHARGE,Transport
FASTAG*TOLL,Transport
NHAI*FASTAG,Transport
parking,Transport
PARKING FEE PAYMENT,Transport
PKG*PARKING CHARGE,Transport
costco gas,Transport
COSTCO GAS STATION,Transport
CST*COSTCO GAS,Transport
shell,Transport
SHELL GAS STATION,Transport
SHL*SHELL FUEL,Transport
chevron,Transport
CHEVRON GAS STATION,Transport
CVN*CHEVRON,Transport
exxon,Transport
EXXON MOBIL FUEL,Transport
EXN*EXXON,Transport
bp,Transport
BP GAS STATION,Transport
BP*FUEL PURCHASE,Transport
makemytrip,Travel
MAKEMYTRIP BOOKING,Travel
MMT*MAKEMYTRIP,Travel
MAKEMYTRIP_FLIGHT,Travel
cleartrip,Travel
CLEARTRIP BOOKING,Travel
CLR*CLEARTRIP,Travel
goibibo,Travel
GOIBIBO BOOKING,Travel
GIB*GOIBIBO FLIGHT,Travel
yatra,Travel
YATRA TRAVEL BOOKING,Travel
YTR*YATRA,Travel
southwest airlines,Travel
SOUTHWEST AIRLINES TICKET,Travel
SWA*SOUTHWEST,Travel
delta,Travel
DELTA AIRLINES TICKET,Travel
DL*DELTA AIRLINES,Travel
united airlines,Travel
UNITED AIRLINES BOOKING,Travel
UA*UNITED AIRLINES,Travel
american airlines,Travel
AMERICAN AIRLINES TICKET,Travel
AA*AMERICAN AIRLINES,Travel
airtel,Utilities
AIRTEL MOBILE RECHARGE,Utilities
AIRTL*AIRTEL POSTPAID,Utilities
BHARTI AIRTEL BILL,Utilities
jio,Utilities
JIO RECHARGE,Utilities
JIO*RELIANCE JIO,Utilities
RELIANCE JIO PREPAID,Utilities
vi,Utilities
VI MOBILE RECHARGE,Utilities
VI*VODAFONE IDEA,Utilities
bsnl,Utilities
BSNL RECHARGE,Utilities
BSNL*LANDLINE BILL,Utilities
tata play,Utilities
TATA PLAY RECHARGE,Utilities
TP*TATA PLAY DTH,Utilities
electricity board,Utilities
ELECTRICITY BILL PAYMENT,Utilities
BESCOM ELECTRICITY BILL,Utilities
BESCOM*POWER BILL,Utilities
MSEDCL ELECTRICITY,Utilities
water board,Utilities
WATER BILL PAYMENT,Utilities
BWSSB*WATER BILL,Utilities
gas bill,Utilities
GAS BILL PAYMENT,Utilities
IGL*GAS BILL,Utilities
PIPED GAS BILL PAY,Utilities
at&t,Utilities
AT&T WIRELESS BILL,Utilities
ATT*AT AND T,Utilities
verizon,Utilities
VERIZON WIRELESS PAYMENT,Utilities
VZN*VERIZON,Utilities
t-mobile,Utilities
T-MOBILE BILL PAYMENT,Utilities
TMB*T MOBILE,Utilities
comcast,Utilities
COMCAST CABLE BILL,Utilities
CMC*COMCAST XFINITY,Utilities
duke energy,Utilities
DUKE ENERGY POWER BILL,Utilities
DKE*DUKE ENERGY,Utilities
pg&e,Utilities
PG&E UTILITY BILL,Utilities
PGE*PG AND E,Utilities
rent,Rent & Housing
RENT PAYMENT TRANSFER,Rent & Housing
RENT*MONTHLY,Rent & Housing
HOUSE RENT NEFT,Rent & Housing
maintenance,Rent & Housing
MAINTENANCE CHARGES SOC,Rent & Housing
SOCIETY MAINTENANCE FEE,Rent & Housing
society charges,Rent & Housing
SOCIETY CHARGES MONTHLY,Rent & Housing
SOC*MAINTENANCE,Rent & Housing
apollo pharmacy,Health
APOLLO PHARMACY STORE,Health
APL*APOLLO PHARMACY,Health
APOLLO PHARMACY ONLINE,Health
medplus,Health
MEDPLUS PHARMACY,Health
MDP*MEDPLUS,Health
netmeds,Health
NETMEDS ORDER ONLINE,Health
NTM*NETMEDS,Health
pharmeasy,Health
PHARMEASY ORDER,Health
PE*PHARMEASY,Health
1mg,Health
1MG MEDICINES ORDER,Health
1MG*TATA HEALTH,Health
practo,Health
PRACTO CONSULTATION,Health
PRC*PRACTO DOCTOR,Health
manipal hospital,Health
MANIPAL HOSPITAL BILL,Health
MH*MANIPAL HOSPITAL,Health
fortis,Health
FORTIS HOSPITAL BILL,Health
FRT*FORTIS HEALTHCARE,Health
max healthcare,Health
MAX HEALTHCARE BILL,Health
MAX*HOSPITAL,Health
cvs pharmacy,Health
CVS PHARMACY PURCHASE,Health
CVS*PHARMACY,Health
walgreens,Health
WALGREENS PHARMACY,Health
WAG*WALGREENS,Health
rite aid,Health
RITE AID PHARMACY,Health
RA*RITE AID,Health
byjus,Education
BYJUS SUBSCRIPTION,Education
BYJ*BYJUS LEARNING,Education
THINK AND LEARN BYJUS,Education
unacademy,Education
UNACADEMY SUBSCRIPTION,Education
UNA*UNACADEMY PLUS,Education
coursera,Education
COURSERA COURSE FEE,Education
CRS*COURSERA,Education
udemy,Education
UDEMY COURSE PURCHASE,Education
UDM*UDEMY,Education
upgrad,Education
UPGRAD PROGRAM FEE,Education
UPG*UPGRAD,Education
vedantu,Education
VEDANTU SUBSCRIPTION,Education
VDT*VEDANTU,Education
physicswallah,Education
PHYSICSWALLAH SUBSCRIPTION,Education
PW*PHYSICSWALLAH,Education
paytm,Other
PAYTM PAYMENT,Other
PTM*PAYTM MERCHANT,Other
PAYTM_WALLET,Other
phonepe,Other
PHONEPE MERCHANT PAY,Other
PPE*PHONEPE,Other
google pay,Other
GOOGLE PAY MERCHANT,Other
GPAY*PAYMENT,Other
emi payment,Other
EMI PAYMENT LOAN,Other
EMI*MONTHLY DEBIT,Other
loan emi,Other
LOAN EMI AUTO DEBIT,Other
HOME LOAN EMI,Other
sip investment,Other
SIP MUTUAL FUND AUTO,Other
SIP*INVESTMENT,Other
mutual fund,Other
MUTUAL FUND PURCHASE,Other
MF*SBI MUTUAL FUND,Other
razorpay,Other
RAZORPAY PAYMENT,Other
RZP*RAZORPAY,Other
dunzo,Other
DUNZO DELIVERY ORDER,Other
DNZ*DUNZO TASK,Other
ola money,Other
OLA MONEY WALLET,Other
OLM*OLA MONEY,Other
uber money,Other
UBER MONEY PAYMENT,Other
UBR*UBER CASH,Other
